EL1: Electronic Ladder,A1: Melano KF No DNAse 4,B1: Melano KF No DNAse 6,C1: Melano KF Yes DNAse 1,D1: Melano KF Yes DNAse 3,E1: Melano D No DNAse 1,F1: Melano D No DNAse 5,G1: Melano D Yes DNAse 2,H1: Melano D Yes DNAse 5
15.28468,1.055769,0,0,0.03207111,0.08796692,99.96381,0,0.04588652
14.43121,2.308712,0,0,0,0,126.27,0,0.006855965
13.87171,3.964399,0,0,0.00513792,0.06040382,154.3526,0,0
13.48894,6.423364,0,0,0,0.1542711,185.7505,0,0
13.46001,10.18855,0,0.01028395,0,0.1917768,218.4893,0,0
13.14586,15.34611,0,0,0,0.09253788,252.6985,0,0.04523945
12.79887,22.62065,0,0,0.05130672,0.07588959,286.9267,0,0.08875084
12.60898,32.67118,0,0,0,0.01671886,319.5576,0.01177168,0.06997919
12.22836,45.62881,0,0,0,0,348.8428,0.006759167,0.1146088
11.97549,61.96222,0,0,0,0,373.8142,0,0.09780836
11.68075,82.23484,0,0,0,0,394.3,0,0.05518723
11.16488,106.1488,0.2149668,0,0,0,407.8086,0,0.009892941
10.84782,133.94,0.5647602,0,0,0,413.8566,0,0
10.45394,165.0871,1.187998,0,0,0,414.4678,0,0
10.1925,199.4547,2.108327,0,0,0,407.8098,0,0
9.845958,235.6896,3.586525,0,0,0,396.3029,0.009391785,0.01136112
9.430903,272.2322,5.702291,0,0,0,380.1404,0.03424549,0
9.227633,308.9408,8.852914,0,0,0,360.4325,0.02580643,0
8.951421,343.7313,13.77521,0,0,0,337.7384,0.04924536,0
8.649407,374.5672,20.58983,0,0,0,312.953,0,0
8.43328,401.52,29.88839,0,0,0,287.5431,0,0.09703588
8.136649,422.1533,42.06246,0,0,0,260.4064,0,0.1812568
7.748421,435.9219,58.03061,0,0.660718,0,233.9588,0,0.2186522
7.452363,442.9802,78.18163,0,2.36374,0,208.4981,0,0.2530079
7.086936,443.9491,102.6641,0,4.822234,0,183.7847,0,0.1910901
6.854991,437.7293,132.2934,0,8.288548,0,161.322,0,0.1564827
6.527324,424.385,167.7097,0,13.12995,0,141.2987,0,0.09446049
6.17592,406.3824,206.9142,0,19.57863,0,123.6665,0,0.0746913
5.929846,383.7932,249.543,0,28.13437,0,108.3724,0,0
5.731161,357.4974,295.7073,0,38.79763,0,94.783,0,0
5.530811,329.5781,342.7995,0,52.13785,0,83.34589,0,0
5.314283,299.8782,390.7263,0.4149771,68.36893,1.2054,73.38464,0,0
5.039759,269.7399,436.5279,1.147427,87.7786,4.284158,65.03874,0,0
4.879637,240.9465,478.0674,2.165461,109.3444,8.800235,58.06221,0,0
4.533747,214.0184,514.8935,3.585608,134.1199,15.5563,52.22648,0,0
4.246821,188.4565,542.4928,5.626624,161.4445,24.63784,47.32233,0,0.004974365
3.987095,165.024,561.4074,8.486682,190.7733,37.20605,43.30445,0,0.01057434
3.707324,144.2881,569.1733,12.81822,222.0688,53.2998,39.891,0,0
3.459528,126.1084,565.6896,18.84195,254.0225,72.94035,36.97654,0,0
3.27951,110.2665,551.9816,27.13453,285.2917,97.05515,34.4885,0,0
3.214552,96.68029,528.1492,38.47575,317.1422,126.5609,32.39192,0,0
3.010284,85.16209,498.433,53.05201,346.7317,160.3755,30.56342,0,0.05934
3.008267,75.28354,462.9261,70.81454,372.9208,198.9312,28.93394,0,0
2.798151,66.99583,423.4949,93.24544,394.445,239.6909,27.40577,0,0
2.634225,60.08603,383.2944,119.1169,411.7313,282.9052,26.00064,0,0
2.382677,54.16634,341.5377,149.0875,422.4589,326.6898,24.49545,0,0
2.227367,49.25502,301.7139,184.1885,425.9934,367.9794,23.1068,0,0.01758432
2.095788,45.1495,264.5847,223.5335,423.4677,407.9627,21.80524,0,0
1.843846,41.45784,229.9464,267.7056,414.8755,442.6586,20.53443,0,0
1.697485,38.30405,198.2605,315.6941,401.2265,473.7992,19.25824,0,0
1.858475,35.67587,170.3392,367.0501,384.6276,498.7446,18.2339,0,0.04848719
1.811575,33.34929,146.9378,416.0343,363.4803,515.9774,17.44372,0,0.0330267
1.964374,31.30156,126.9501,465.7155,339.9356,525.6736,16.62206,0.2620564,0.09282589
1.901066,29.62199,109.609,511.7376,314.6143,525.6692,15.93286,2.385239,0.1190515
1.778781,28.02779,95.50068,552.7713,288.2856,518.296,15.22285,5.475696,0.1409335
1.556797,26.51061,83.90869,587.7482,260.7068,502.4949,14.67287,9.957265,0.1483259
1.403651,24.9851,73.98151,615.7704,232.9125,477.6612,14.21737,16.3683,0.08732176
1.308333,23.61537,66.24091,634.8268,206.5863,449.2965,13.82643,25.12101,0
1.10693,22.23886,59.89381,646.3799,182.1158,416.1147,13.51526,36.80466,0
1.049143,21.05531,54.63881,647.5511,159.7453,381.5529,13.1169,51.98388,0
1.241197,19.93712,50.22874,639.7523,139.5453,345.8002,12.91503,70.885,0
1.354727,18.85177,46.71914,621.4332,121.5798,310.6805,12.80847,93.99732,0
1.502384,17.93605,43.70911,597.8048,106.0167,276.6216,12.7379,121.7234,0
1.519122,17.11811,41.04633,566.1135,92.23603,244.7242,12.81355,154.1686,0
1.324928,16.3075,38.79182,531.1786,80.46476,215.9264,12.89525,191.0785,0
1.076735,15.62976,36.57154,491.5446,70.43125,189.2097,13.26856,231.667,0
0.9952097,14.9224,34.51329,450.6494,62.09977,164.7716,13.74107,276.8049,0
0.8940001,14.3309,32.58649,409.0748,55.21363,143.7295,14.45553,324.2817,0
0.725214,13.81205,30.65544,368.2958,49.46033,125.3411,15.16018,374.0382,0
0.6926012,13.346,28.81007,327.7003,44.74401,109.2566,15.90713,423.929,0
0.6888208,12.91978,27.19176,290.0499,40.85395,95.90504,16.77284,471.4937,0
0.7387056,12.52868,25.67587,255.5448,37.46389,84.37566,17.75426,516.3887,0
0.8532467,12.2221,24.24391,223.9246,34.50422,74.41521,18.85343,557.5678,0
0.7408857,11.93456,22.96668,195.7875,31.96091,66.38315,20.07789,591.1647,0
0.7472887,11.64047,21.97869,171.364,29.60117,59.62155,21.46031,618.7149,0
0.8692646,11.39918,20.82262,149.217,27.52194,53.70183,23.00559,636.3378,0
1.168772,11.14064,19.7148,131.014,25.57629,48.80133,24.78393,644.6469,0
1.190784,10.82005,18.71727,115.2779,23.85548,44.66124,26.79751,643.3725,0
1.200372,10.62899,17.74812,101.6937,22.32398,40.9197,28.89524,633.3536,0
1.114477,10.44104,16.8223,90.03211,20.95922,37.74852,31.17811,613.4401,0
0.9727325,10.15932,16.09878,80.25266,19.78264,34.93942,33.62336,585.8871,0
0.8234692,9.997291,15.35452,72.0141,18.51752,32.4242,36.11218,553.4305,0
0.8036432,9.902715,14.67521,64.97701,17.48091,30.31079,38.78926,516.3476,0
0.7431259,9.800904,14.06857,59.13896,16.46605,28.43539,41.48064,476.0872,0
0.7612772,9.670695,13.61171,54.10802,15.51152,26.56918,44.31629,436.3761,0
1.037474,9.617757,13.22215,49.78372,14.77769,24.83102,47.12197,395.4704,0
1.257266,9.500474,12.90133,45.97689,13.98283,23.30371,49.93895,355.5518,0
1.272376,9.292903,12.69285,42.79348,13.35901,21.91775,52.75706,317.7692,0
1.354032,9.250501,12.4586,39.876,12.77679,20.60347,55.49313,281.8025,0
1.327152,9.215827,12.16078,37.47832,12.2267,19.60411,58.38773,248.0668,0
1.441128,9.122085,11.89964,35.3017,11.72887,18.7248,61.07229,218.1354,0
1.437162,9.044089,11.63577,33.48071,11.18761,17.96663,63.5047,191.2863,0
1.53565,9.117724,11.4696,31.56776,10.69044,17.25468,65.80519,166.8366,0
1.483832,9.179315,11.18275,29.8437,10.19282,16.6083,67.78592,146.0279,0
1.313531,9.271388,11.11342,28.11258,9.856713,15.96994,69.43391,128.0724,0
1.350208,9.40467,11.005,26.5303,9.464328,15.4562,70.68159,112.9974,0
1.262451,9.449801,10.86914,24.95512,9.162616,15.02708,71.5472,99.98595,0
1.230331,9.417546,10.84133,23.55403,8.9273,14.76111,72.05719,88.68436,1.416653
1.182846,9.439168,10.7368,22.28836,8.754283,14.59156,72.34508,79.27036,5.436991
1.293417,9.497588,10.55083,21.1129,8.583709,14.5711,72.58105,71.45365,11.28832
1.43209,9.567204,10.48165,20.13577,8.539638,14.75846,72.47305,64.83035,19.00805
1.565934,9.638616,10.47834,19.24906,8.512731,15.0395,72.10577,59.16811,29.67058
1.778693,9.748103,10.54094,18.31271,8.580266,15.31115,71.6837,54.17138,43.6722
1.832576,9.729251,10.55654,17.56469,8.691121,15.95332,71.20419,49.87717,61.05391
1.958308,9.804818,10.73371,16.75059,8.888383,16.74771,70.82849,46.26334,82.17772
2.013226,9.864886,10.67838,16.07621,8.959361,17.78177,70.35083,43.03288,108.4511
1.900956,9.881042,10.63764,15.40389,9.139636,18.95757,69.97231,40.12995,139.6865
1.976776,9.849256,10.702,14.87051,9.264991,20.41631,69.83923,37.6902,177.4714
1.942533,9.805463,10.71879,14.41961,9.394412,22.01769,70.02979,35.53529,217.7439
2.064632,9.848292,10.65163,13.90217,9.591563,23.95813,70.52246,33.48283,264.048
2.001075,9.861787,10.53222,13.54619,9.767148,26.1795,71.48151,31.51397,315.8974
